id_client,churn,score_churn,risque_ml
70030420,1,0.9977,Haut
70038307,1,0.9978,Haut
70038329,1,0.9978,Haut
70038348,0,0.1085,Faible
70038388,1,0.3138,Moyen
70038396,0,0.1759,Faible
70253321,0,0.1733,Faible
70253780,0,0.2263,Faible
70256364,0,0.0918,Faible
70256382,0,0.0784,Faible
70256417,0,0.2637,Faible
70283440,1,0.3325,Moyen
70283449,0,0.2237,Faible
70283450,1,0.2254,Faible
70283455,0,0.1574,Faible
70283458,0,0.4119,Moyen
70283464,1,0.9978,Haut
70283472,0,0.3988,Moyen
70287508,0,0.3525,Moyen
70287551,0,0.2651,Faible
70289359,0,0.3988,Moyen
70289626,0,0.4446,Moyen
70289721,0,0.2641,Faible
70295862,0,0.1739,Faible
70295897,1,0.9978,Haut
70634020,0,0.1714,Faible
70634224,1,0.9978,Haut
70634294,0,0.2511,Faible
70634500,0,0.244,Faible
70634732,0,0.1459,Faible
70634792,0,0.1754,Faible
72588019,0,0.4369,Moyen
72588078,0,0.0911,Faible
72588091,0,0.2167,Faible
72588100,0,0.2803,Faible
72588128,0,0.2719,Faible
72588146,0,0.4285,Moyen
72588150,0,0.2708,Faible
72588186,0,0.2525,Faible
72588243,0,0.1998,Faible
72588248,0,0.1407,Faible
72588254,0,0.3988,Moyen
72588282,0,0.2779,Faible
72588350,0,0.2995,Faible
72588365,0,0.1732,Faible
72588366,1,0.1459,Faible
72588369,0,0.1074,Faible
72588381,0,0.2719,Faible
72588382,0,0.189,Faible
72588392,0,0.1434,Faible
72588397,0,0.4263,Moyen
72588433,0,0.4022,Moyen
72588476,0,0.4263,Moyen
72588494,0,0.3017,Moyen
72588506,0,0.185,Faible
72588531,0,0.2181,Faible
72588545,0,0.1459,Faible
72588547,0,0.3186,Moyen
72588551,0,0.288,Faible
72588565,0,0.0622,Faible
72588593,0,0.3161,Moyen
72588598,0,0.3017,Moyen
72588634,0,0.4789,Moyen
72588657,0,0.1834,Faible
72588684,0,0.369,Moyen
72588685,0,0.2463,Faible
72588728,0,0.0909,Faible
72588735,0,0.2412,Faible
72588736,0,0.1828,Faible
72588742,0,0.5119,Moyen
72588744,0,0.369,Moyen
72588745,0,0.1162,Faible
72588750,0,0.2303,Faible
72588753,0,0.3232,Moyen
72588757,0,0.2536,Faible
72588760,0,0.3217,Moyen
72588789,0,0.1187,Faible
72588797,0,0.2719,Faible
72588837,0,0.4263,Moyen
72588933,0,0.1279,Faible
72588943,0,0.4263,Moyen
72588972,0,0.2247,Faible
73200012,1,0.311,Moyen
73200068,0,0.0103,Faible
73200103,1,0.3988,Moyen
73200124,0,0.0081,Faible
73200149,1,0.9978,Haut
73200177,0,0.6743,Haut
73200269,0,0.0074,Faible
73200286,1,0.9973,Haut
73200305,1,0.998,Haut
73200306,0,0.0247,Faible
73200308,0,0.0148,Faible
73200309,0,0.3388,Moyen
73200427,1,0.9977,Haut
73200435,1,0.9978,Haut
73200469,1,0.9978,Haut
73200498,1,0.9978,Haut
73200537,0,0.3232,Moyen
73200595,0,0.0314,Faible
73200597,0,0.2077,Faible
73200612,0,0.0046,Faible
73200615,0,0.0103,Faible
73200634,0,0.1664,Faible
73200647,1,0.9963,Haut
73200652,1,0.9977,Haut
73200677,0,0.0153,Faible
73200707,0,0.0091,Faible
73200792,0,0.2315,Faible
73200826,1,0.2037,Faible
73200858,1,0.9967,Haut
73200882,0,0.0966,Faible
73200902,0,0.0103,Faible
73200924,1,0.3611,Moyen
73200944,0,0.0317,Faible
73200951,1,0.9977,Haut
73200955,1,0.9978,Haut
73200958,0,0.0068,Faible
73200977,0,0.3988,Moyen
73200980,0,0.0114,Faible
73200989,0,0.0068,Faible
73200997,0,0.0266,Faible
73201002,0,0.1198,Faible
73201005,0,0.0126,Faible
73201009,0,0.0068,Faible
73201038,1,0.9978,Haut
73201045,0,0.2688,Faible
73201046,0,0.249,Faible
73201069,1,0.9978,Haut
73201076,0,0.0162,Faible
73201111,1,0.2561,Faible
73201155,0,0.1605,Faible
73201156,1,0.2724,Faible
73201157,1,0.9977,Haut
73201168,1,0.9973,Haut
73201220,0,0.3442,Moyen
73201228,0,0.0119,Faible
73201231,1,0.998,Haut
73201284,0,0.2414,Faible
73201287,0,0.0073,Faible
73201290,1,0.6443,Haut
73201317,0,0.4263,Moyen
73201326,0,0.0098,Faible
73201374,0,0.0185,Faible
73201376,0,0.3017,Moyen
73201378,0,0.008,Faible
73201448,0,0.0079,Faible
73201449,1,0.3254,Moyen
73201471,0,0.3988,Moyen
73201483,0,0.0106,Faible
73201552,0,0.0156,Faible
73201574,0,0.0124,Faible
73201577,1,0.5682,Moyen
73201590,1,0.6495,Haut
73201653,0,0.1957,Faible
73201699,1,0.9978,Haut
73201714,1,0.5884,Moyen
73201736,1,0.9978,Haut
73201738,1,0.9978,Haut
73201739,0,0.0169,Faible
73201743,1,0.9973,Haut
73201797,0,0.0074,Faible
73201845,0,0.0191,Faible
73201861,0,0.0103,Faible
73201887,0,0.167,Faible
73201913,1,0.7755,Haut
73201933,0,0.012,Faible
73201938,0,0.0162,Faible
73201939,0,0.0118,Faible
73201972,0,0.0064,Faible
73201980,0,0.2511,Faible
73202001,0,0.0101,Faible
73202040,1,0.9978,Haut
73202046,1,0.5884,Moyen
73202048,0,0.0079,Faible
73202049,1,0.3154,Moyen
73202063,1,0.9967,Haut
73202116,0,0.0096,Faible
73202129,1,0.9977,Haut
73202137,0,0.0507,Faible
73202144,0,0.0148,Faible
73202150,0,0.0133,Faible
73202170,0,0.1622,Faible
73202182,0,0.1922,Faible
73202201,0,0.0148,Faible
73202253,1,0.401,Moyen
73202267,1,0.9978,Haut
73202282,0,0.0129,Faible
73202307,1,0.4125,Moyen
73202316,0,0.0067,Faible
73202358,0,0.0135,Faible
73202365,0,0.0058,Faible
73202370,0,0.2511,Faible
